               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096696,            0.024459,            0.068473,           0.0029342,             0.69244,            0.022938,           0.0058379,            0.058163,            0.010447,            0.056746,            0.070417,            0.003287,            0.003287
                   1,            0.063853,             0.02052,            0.056233,              0.3493,             0.13761,            0.052552,            0.014507,            0.059499,           0.0097461,            0.047669,            0.040373,           0.0065767,           0.0065767
                   2,            0.060972,            0.017537,             0.04755,             0.92187,            0.014744,           0.0064159,           0.0020098,            0.060115,            0.013868,            0.083924,            0.010285,           0.0098223,           0.0098223
                   3,            0.062836,            0.017463,            0.048942,             0.32686,             0.13713,            0.036722,           0.0091203,            0.062411,            0.024179,            0.069332,            0.009802,            0.009802,            0.009802
                   4,            0.060857,             0.01734,            0.045968,             0.28057,             0.29819,             0.11397,            0.030311,            0.056428,            0.011258,            0.035126,            0.009802,            0.009802,            0.009802
                   5,            0.058204,            0.016921,            0.042925,            0.097014,            0.063785,            0.015828,           0.0042522,            0.074347,           0.0088827,            0.048133,            0.009736,            0.009736,            0.009736
                   6,            0.058073,            0.016857,            0.039777,             0.40581,             0.22554,             0.20483,            0.058165,            0.056996,           0.0068844,             0.03305,             0.00967,             0.00967,             0.00967
                   7,            0.054771,            0.016668,            0.038625,             0.53416,             0.35203,             0.27065,            0.074642,            0.056438,            0.006864,            0.029576,            0.009604,            0.009604,            0.009604
                   8,            0.055098,            0.016212,            0.038539,             0.48194,              0.3899,             0.27028,            0.064073,             0.05527,           0.0072408,            0.028827,            0.009538,            0.009538,            0.009538
                   9,            0.053999,             0.01608,            0.035502,             0.51015,             0.34556,             0.31516,             0.11237,            0.051361,           0.0068479,            0.028115,            0.009472,            0.009472,            0.009472
                  10,            0.053042,            0.015548,            0.034807,             0.50341,             0.48211,             0.43285,             0.15025,            0.048921,           0.0062084,            0.026934,            0.009406,            0.009406,            0.009406
                  11,            0.052709,            0.015613,            0.035305,             0.61463,             0.43246,             0.40368,            0.093175,            0.056854,           0.0057651,             0.02132,             0.00934,             0.00934,             0.00934
                  12,             0.05277,            0.015639,            0.032481,             0.50457,             0.19795,             0.18869,            0.041591,            0.057843,           0.0068898,            0.031295,            0.009274,            0.009274,            0.009274
                  13,            0.052061,            0.015577,            0.032484,             0.61509,             0.38494,             0.41708,             0.15365,            0.047864,           0.0082214,            0.023361,            0.009208,            0.009208,            0.009208
                  14,            0.050374,            0.015502,            0.030202,             0.44445,             0.48268,             0.47171,             0.13947,            0.050221,           0.0064574,             0.02326,            0.009142,            0.009142,            0.009142
                  15,            0.049635,            0.015136,            0.028506,             0.36881,             0.29484,             0.30217,             0.11282,            0.048481,           0.0077985,             0.03605,            0.009076,            0.009076,            0.009076
                  16,            0.050096,            0.015182,            0.030295,             0.61655,             0.47665,             0.49086,             0.17102,            0.049173,           0.0059256,            0.022313,             0.00901,             0.00901,             0.00901
                  17,            0.048808,            0.014741,            0.029898,             0.39031,             0.33432,             0.33221,            0.098117,            0.055655,           0.0064544,            0.026577,            0.008944,            0.008944,            0.008944
                  18,            0.049363,            0.014936,            0.027537,             0.62257,             0.61276,             0.64369,             0.27471,            0.044255,           0.0058398,            0.018153,            0.008878,            0.008878,            0.008878
                  19,            0.049366,            0.014777,            0.027809,             0.50748,             0.59326,              0.5416,             0.17757,            0.049288,           0.0055254,            0.019274,            0.008812,            0.008812,            0.008812
                  20,            0.048137,            0.014545,            0.026336,             0.62093,             0.57341,              0.5574,             0.23003,            0.045388,           0.0061668,            0.019776,            0.008746,            0.008746,            0.008746
                  21,             0.04795,            0.014645,            0.025609,             0.69089,             0.66345,             0.71042,              0.2707,            0.047754,           0.0051021,            0.014068,             0.00868,             0.00868,             0.00868
                  22,             0.04849,            0.014518,            0.026101,             0.56958,             0.35905,             0.34543,             0.12546,            0.048814,           0.0079277,            0.028998,            0.008614,            0.008614,            0.008614
                  23,            0.047412,            0.014696,            0.026764,             0.55444,             0.40234,             0.40937,             0.16807,             0.04686,           0.0066824,            0.022531,            0.008548,            0.008548,            0.008548
                  24,            0.049596,            0.014627,            0.025834,             0.60295,              0.6059,              0.6231,             0.25475,            0.047802,           0.0068481,            0.015211,            0.008482,            0.008482,            0.008482
                  25,            0.046858,            0.014374,            0.025206,             0.66681,             0.66588,             0.67079,             0.27685,            0.047378,             0.00554,            0.012179,            0.008416,            0.008416,            0.008416
                  26,            0.047174,            0.014344,            0.024845,             0.68051,             0.63328,             0.68544,             0.28979,            0.049154,           0.0057068,            0.015506,             0.00835,             0.00835,             0.00835
                  27,            0.049646,            0.014325,            0.024272,             0.68131,             0.67399,             0.68558,             0.28644,            0.044251,           0.0053389,            0.011226,            0.008284,            0.008284,            0.008284
                  28,              0.0478,            0.014546,            0.024604,             0.60368,             0.57216,             0.56907,             0.19716,            0.047682,           0.0056025,            0.012385,            0.008218,            0.008218,            0.008218
                  29,            0.047702,            0.014113,            0.023488,             0.68995,             0.67889,             0.72232,             0.33024,            0.042928,           0.0055737,             0.01276,            0.008152,            0.008152,            0.008152
                  30,             0.04783,             0.01429,            0.023264,             0.72088,             0.66264,             0.70367,              0.2847,            0.045227,            0.005182,           0.0096635,            0.008086,            0.008086,            0.008086
                  31,            0.047096,            0.014307,            0.022447,             0.63325,             0.63879,              0.6244,             0.26237,            0.044177,           0.0050625,             0.01308,             0.00802,             0.00802,             0.00802
                  32,            0.046996,            0.014056,            0.022839,             0.65367,             0.59356,             0.63576,             0.29226,             0.04191,           0.0062622,            0.016771,            0.007954,            0.007954,            0.007954
                  33,            0.046358,            0.014026,             0.02132,             0.73207,             0.69237,             0.71804,             0.31608,             0.04416,           0.0052119,            0.014691,            0.007888,            0.007888,            0.007888
                  34,            0.045895,            0.014122,            0.022885,             0.67294,              0.6929,             0.70724,             0.32025,            0.040871,           0.0055828,            0.011536,            0.007822,            0.007822,            0.007822
                  35,            0.043123,             0.01391,            0.021087,             0.73835,             0.70262,              0.7459,             0.32748,            0.044178,           0.0051305,           0.0095062,            0.007756,            0.007756,            0.007756
                  36,            0.044795,            0.013681,             0.01936,             0.74452,              0.7282,              0.7626,             0.29399,            0.042506,           0.0047802,           0.0082475,             0.00769,             0.00769,             0.00769
                  37,            0.045312,            0.013549,            0.018876,              0.7095,             0.69262,             0.68851,             0.28681,            0.046521,           0.0047596,           0.0091304,            0.007624,            0.007624,            0.007624
                  38,            0.044423,            0.013871,            0.019077,             0.64028,             0.58094,             0.61639,             0.25083,            0.041374,           0.0059123,            0.013974,            0.007558,            0.007558,            0.007558
                  39,            0.044288,            0.013399,            0.018764,              0.6033,             0.59908,             0.61632,             0.27585,            0.042657,           0.0060239,            0.014063,            0.007492,            0.007492,            0.007492
                  40,            0.044189,            0.013404,            0.018809,             0.70577,             0.59221,             0.61364,             0.19772,            0.046341,           0.0053323,            0.012029,            0.007426,            0.007426,            0.007426
                  41,            0.044066,            0.013623,            0.021008,             0.72189,              0.7238,             0.72365,             0.28065,             0.04444,           0.0048365,           0.0063835,             0.00736,             0.00736,             0.00736
                  42,            0.044221,            0.013799,            0.018427,             0.46753,             0.41889,             0.43101,             0.17417,            0.045425,           0.0073347,            0.027511,            0.007294,            0.007294,            0.007294
                  43,            0.043543,             0.01353,            0.019875,             0.80342,             0.65288,             0.69136,             0.27536,            0.048099,           0.0050065,             0.01166,            0.007228,            0.007228,            0.007228
                  44,            0.043762,            0.013777,            0.018417,             0.78922,             0.75986,             0.79006,             0.36938,            0.040495,           0.0046054,           0.0090299,            0.007162,            0.007162,            0.007162
                  45,            0.044419,            0.013142,            0.017613,             0.68914,             0.70204,             0.75383,             0.34745,            0.042789,           0.0050564,            0.010838,            0.007096,            0.007096,            0.007096
                  46,            0.043476,            0.013212,            0.018948,             0.75673,             0.72902,             0.76094,             0.31454,             0.04414,           0.0048252,           0.0094096,             0.00703,             0.00703,             0.00703
                  47,            0.044091,            0.013379,            0.019751,             0.78612,             0.76689,             0.77195,             0.31077,            0.044503,           0.0045024,            0.006244,            0.006964,            0.006964,            0.006964
                  48,            0.042907,            0.013262,             0.01843,             0.73129,             0.73572,             0.75605,             0.37032,            0.038697,           0.0049889,           0.0090448,            0.006898,            0.006898,            0.006898
                  49,            0.043619,            0.013258,            0.019123,             0.82264,             0.71245,             0.79127,             0.35987,            0.038946,           0.0052658,             0.01163,            0.006832,            0.006832,            0.006832
                  50,             0.04373,            0.013407,            0.018365,             0.73897,             0.74103,             0.76277,             0.33926,            0.041932,           0.0046884,           0.0074162,            0.006766,            0.006766,            0.006766
                  51,            0.041567,            0.013205,            0.016999,             0.74189,             0.74833,             0.75828,             0.41237,            0.039622,           0.0048778,            0.005352,              0.0067,              0.0067,              0.0067
                  52,              0.0423,            0.013266,            0.018055,             0.85071,             0.69774,             0.74757,             0.35639,             0.04094,           0.0050182,            0.010647,            0.006634,            0.006634,            0.006634
                  53,            0.041988,            0.013087,            0.017004,             0.80934,             0.78231,             0.80564,             0.37527,            0.041366,           0.0046034,           0.0050463,            0.006568,            0.006568,            0.006568
                  54,            0.042712,            0.012899,             0.01399,             0.75176,             0.72699,             0.75206,             0.42966,            0.037002,           0.0050798,            0.011789,            0.006502,            0.006502,            0.006502
                  55,            0.042081,            0.013194,            0.016127,              0.8114,             0.81506,             0.82482,             0.42333,            0.037344,            0.004584,           0.0063693,            0.006436,            0.006436,            0.006436
                  56,            0.041947,            0.012881,            0.016636,             0.83622,             0.78887,             0.80956,             0.41235,            0.038458,           0.0045949,           0.0061823,             0.00637,             0.00637,             0.00637
                  57,            0.042214,            0.012987,            0.016267,             0.80098,             0.75811,             0.79195,             0.42325,            0.037268,           0.0049397,           0.0080167,            0.006304,            0.006304,            0.006304
                  58,            0.042308,            0.013379,             0.01732,              0.8416,             0.78554,             0.82593,             0.40973,            0.038372,            0.004723,           0.0077151,            0.006238,            0.006238,            0.006238
                  59,            0.042099,            0.012933,            0.015401,             0.80021,              0.7899,             0.79311,              0.4031,            0.038979,           0.0044619,           0.0048496,            0.006172,            0.006172,            0.006172
                  60,            0.042075,            0.013058,            0.015826,             0.87309,             0.80203,             0.85791,             0.47305,            0.036642,           0.0047235,           0.0072647,            0.006106,            0.006106,            0.006106
